Full Name,Author IDs
sara a solla,['1759839']
marijn van vliet,"['2144114712', '1817120', '73774737', '1419693957', '1446736928']"
adam santoro,"['145811355', '49295158', '2057347076', '35030998']"
momchil tomov,['51173086']
richard gao,"['97941643', '2057938511', '1445128702', '32850847', '1996186744', '2057937940', '2057938434', '30177922', '1450450564', '49542709']"
stephen keeley,"['152738916', '115741311', '66540339', '115741307', '83433232']"
karolina stosio,['1396942547']
eugenio piasini,"['8873160', '2143280152']"
julio martinez-trujillo,[]
luca mazzucato,['4307298']
stanley lazic,"['3918525', '2066981082']"
gerald pho,"['49529467', '2213302726']"
anqi wu,"['2059689581', '2075411131', '150928489', '1564959351', '46840815', '2075411328', '2075410801', '115016812', '101668142', '2048490599', '102663723', '2075411361', '2186818568', '2075410123', '39722860', '153267140', '2075410973', '2211133800', '2048006427', '2075410401', '33515312', '2075410870', '1692519105', '2075410543', '2075411191', '2179006833', '2059689584', '2075411288']"
natalie klein,"['145685833', '2060587066', '152801565', '47406546', '39004994', '37587386', '34162937', '145456963', '90454627', '2214359005', '152174159', '2060587165', '2214181016', '2136868370', '1486201694', '2102267470', '2060587189', '117167352', '1420495130', '1439067385', '2060587117', '2100112294']"
